OBJECTID,CNN,CNNTEXT,ST_NAME1,ST_TYPE1,ST_NAME2,ST_TYPE2,ST_NAME3,ST_TYPE3,ST_NAME4,ST_TYPE4,TOTEMP2,UNIVPROX,SIGNALIZED,PKGMETERS,MAXPCTSLPE,MODEL6_VOL,HH_PEDMODE,PCOL_04_09,PCOL_RATE,point
5187,27251000,27251000,05TH,AVE,CLEMENT,ST, , , , ,798,0,0,0,9,1677443,2633,0,0,POINT (-122.46335052505552 37.782989203730814)
2161,32889000,32889000,25TH,AVE,WAWONA,ST, , , , ,1194,0,0,1,4,20441,1154,0,0,POINT (-122.48172726917493 37.7371719264379)
2027,23456000,23456000,46TH,AVE,SLOAT,BLVD, , , , ,5775,0,0,0,1,310635,642,0,0,POINT (-122.5041853300742 37.73555788217046)
4742,26452000,26452000,FULTON,ST,LOYOLA,TER, , , , ,3382,1,0,0,12,548457,1940,0,0,POINT (-122.44884990037622 37.77549905323393)
6465,24338000,24338000,SHOTWELL,ST,15TH,ST, , , , ,9472,0,0,0,9,539018,1492,0,0,POINT (-122.41654853819017 37.76687147172695)
6758,24475000,24475000,ELM,ST,VAN NESS,AVE, , , , ,66136,0,0,1,5,2027148,3329,0,0,POINT (-122.42045190180383 37.781509970279416)
1644,28195000,28195000,TAMPA,LN,BRIDGEVIEW,DR, , , , ,9786,0,0,0,1,17576,308,0,0,POINT (-122.39616954529855 37.73493084518082)
3839,51339000,51339000,PATTEN,RD,MCDOWELL,AVE, , , , ,2156,0,0,0,7,131263,32,0,0,POINT (-122.46712930085333 37.80086882686947)
3712,24965000,24965000,POST,ST,JONES,ST, , , , ,3170,0,0,1,14,24410411,11757,3,0.25,POINT (-122.41335396402988 37.78766359855479)
5276,25449000,25449000,TUSCANY,ALY,LOMBARD,ST, , , , ,3831,0,0,0,5,144889,3805,0,0,POINT (-122.41034728818352 37.8031627306294)
290,20273000,20273000,LATHROP,AVE,TOCOLOMA,AVE, , , , ,369,0,0,0,23,107714,422,0,0,POINT (-122.39856234824072 37.71045518450991)
1776,23221000,23221000,INVERNESS,DR,OCEAN,AVE, , , , ,568,0,0,0,9,352314,702,0,0,POINT (-122.48275143416409 37.732393662088235)
7754,24727000,24727000,PETRARCH,PL,PINE,ST, , , , ,20391,0,0,1,15,3365367,1216,0,0,POINT (-122.40219709846525 37.79194679014587)
5395,21542000,21542000,HURON,AVE,WHIPPLE,AVE, , , , ,974,0,0,0,9,320668,1294,0,0,POINT (-122.4494157582056 37.71218224428749)
449,23100000,23100000,HIGUERA,AVE,ARBALLO,DR, , , , ,558,1,0,0,8,722028,1799,0,0,POINT (-122.4831434438748 37.718517350316134)
2304,21837000,21837000,DOLORES,ST,SAN JOSE,AVE, , , , ,635,0,0,0,14,1110682,2127,0,0,POINT (-122.42413709625579 37.740335654381546)
1818,21936000,21936000,CASTRO,ST,SURREY,ST, , , , ,784,0,0,0,4,106020,1395,0,0,POINT (-122.43244314669137 37.73484257213601)
6293,24690000,24690000,HALLECK,ST,FRONT,ST, , , , ,14477,0,0,1,32,13778702,1103,0,0,POINT (-122.3988804185637 37.793843680912815)
1497,23122000,23122000,EUCALYPTUS,DR,26TH,AVE, , , , ,652,0,0,0,3,315116,558,0,0,POINT (-122.48178740493717 37.731169754246565)
58,20289000,20289000,BLANKEN,AVE,TUNNEL,AVE, , , , ,1045,0,0,0,9,269825,826,0,0,POINT (-122.40078919429226 37.71201631408372)
2993,22977000,22977000,SANTA RITA,AVE,SOTELO,AVE, , , , ,779,0,0,0,5,137783,804,0,0,POINT (-122.4637615549926 37.74860701487062)
317,33361000,33361000,PRAGUE,ST,WINDING,WAY, , , , ,79,0,0,0,5,80118,1460,0,0,POINT (-122.4386797563852 37.710070287662944)
4467,27843000,27843000,30TH,AVE,CLEMENT,ST, , , , ,304,0,0,0,1,358788,2397,0,0,POINT (-122.49023107879447 37.78177541920546)
7370,30065000,30065000,GREEN,ST,RENO,PL, , , , ,512,0,0,0,2,90963,3037,0,0,POINT (-122.40560560248227 37.799930019686705)
1365,33677000,33677000,DAVENPORT,LN,TRUMBULL,ST, , , , ,6142,0,1,0,5,186795,406,0,0,POINT (-122.42393066860087 37.730892020633945)
1966,20683000,20683000,QUINT,ST,QUESADA,AVE, , , , ,337,0,0,0,17,175979,1066,0,0,POINT (-122.39708156406238 37.7365327939709)
3184,23616000,23616000,MINNESOTA,ST,23RD,ST, , , , ,3316,0,0,0,2,333460,262,0,0,POINT (-122.38998858900969 37.755270145848)
5402,24929000,24929000,JONES,ST,EDDY,ST, , , , ,8446,0,0,1,19,32016297,12645,5,0.31,POINT (-122.41259527639679 37.78393257697693)
